,Country,Countrycode3,Year,Population,PopCovr_new
0,Afghanistan,AFG,2007,26.91153,All
1,Afghanistan,AFG,2008,27.65889,All
2,Albania,ALB,1996,3.092034,All
3,Albania,ALB,2002,3.123112,All
4,Albania,ALB,2005,3.082172,All
5,Albania,ALB,2008,2.968026,All
6,Albania,ALB,2012,2.880667,All
7,Algeria,DZA,1988,24.591493,All
8,Algeria,DZA,1995,28.9043,All
9,Angola,AGO,2000,15.058638,All
10,Angola,AGO,2008,19.842250999999997,All
11,Angola,AGO,2009,20.520103,All
12,Angola,AGO,2009,20.520103,All
13,Angola,AGO,2009,20.520103,All
14,Angola,AGO,2009,20.520103,All
15,Angola,AGO,2009,20.520103,All
16,Angola,AGO,2009,20.520103,All
17,Argentina,ARG,1953,18.238993999999998,All
18,Argentina,ARG,1953,18.238993999999998,All
19,Argentina,ARG,1959,20.290249,All
20,Argentina,ARG,1959,20.290249,All
21,Argentina,ARG,1961,20.959981,All
22,Argentina,ARG,1961,20.959981,All
23,Argentina,ARG,1961,20.959981,All
24,Argentina,ARG,1961,20.959981,All
25,Argentina,ARG,1961,20.959981,All
26,Argentina,ARG,1961,20.959981,All
27,Argentina,ARG,1961,20.959981,Employed+Others
28,Argentina,ARG,1961,20.959981,Employed+Others
29,Argentina,ARG,1961,20.959981,All
30,Argentina,ARG,1961,20.959981,All
31,Argentina,ARG,1961,20.959981,Employed+Others
32,Argentina,ARG,1961,20.959981,All
33,Argentina,ARG,1961,20.959981,All
34,Argentina,ARG,1963,21.626101,All
35,Argentina,ARG,1963,21.626101,All
36,Argentina,ARG,1963,21.626101,All
37,Argentina,ARG,1965,22.293096,All
38,Argentina,ARG,1969,23.610612,All
39,Argentina,ARG,1970,23.973062,All
40,Argentina,ARG,1970,23.973062,All
41,Argentina,ARG,1972,24.78295,All
42,Argentina,ARG,1972,24.78295,All
43,Argentina,ARG,1974,25.644505,All
44,Argentina,ARG,1974,25.644505,Employed+Others
45,Argentina,ARG,1974,25.644505,All
46,Argentina,ARG,1974,25.644505,All
47,Argentina,ARG,1975,26.066975,All
